brand,name,price
HP ,15-BS151nia- Intel core i3- 4GB RAM  - 500GB HDD- NO OS-15.6'' - Black,"34,499"
,,
Lenovo ,"Ideapad 110 15.6"" Intel Celeron 151BR 2 GB RAM 500 GB HDD No OS Installed- Black","20,999"
HP ,"15- Intel Celeron -4GB  500GB  -15.6""- DOS Installed - Black","25,999"
Lenovo ,Ideapad 330-15.6-Intel Celeron-500GB HDD-4GB RAM- DOS- Platinum Grey,"24,499"
Dell ,Inspiron 3573 Intel Celeron 15.6'' 4GB RAM 500GB HDD - Black,"26,899"
Lenovo ,"Ideapad 120s-11.6""-Intel Celeron-4GB RAM-500GB HDD-DOS-Grey","22,999"
,,
HP ,"INSPIRED Refurbished FOLIO 9470M Core i5 1.9 Ghz 4GB RAM 500GB HDD 15.6"" Black & Gold","32,999"
HP ,"250 G6 - 15.6"" - Intel Core i3 - 1TB HDD - 4GB RAM - No OS - Black+FREE BAG","36,999"
HP ,15  - Intel Core i5 8th Generation - 1TB HDD - 4GB RAM,"44,000"
HP ,"Inspired Refurbished  FOLIO 9470M Core i7 4GB RAM 500GB HDD 15.6"" Black & Gold.","35,999"
Dell ,"Refurbished Latitude 2100 - 10.1"" - Intel Atom N270 (1.60 GHz) - 160GB HDD - 2GB RAM - Windows 7 - Blue and Black","10,999"
,,
Dell ,"Inspired Refurbished Lattitude E 7240 14"" Intel Core i5 1.7Ghz 128GB SSD 4GB RAM No OS  Black & Gold","33,700"
HP ,"Probook 450 G5  15.6""  Intel Core i7 8th gen-1TB HDD - 8GB RAM - 2GB Nvidia Graphics - DOS - Silver","81,990"
ASUS ,"X441M-14""- N4000-500GB HDD-4GB RAM-DOS-Silver Gradient","24,899"
Dell ,"Inspiron 3552 Intel Celeron N3060 4GB RAM, 500GB HDD - Black","26,899"
Dell ,"INSPIRED Refurbished E5440 CORE i5 2.0 Ghz 4GB RAM 500GB HDD 15.6"" BLACK & GOLD.","32,999"
,,
ASUS ,"X540L - 15.6"" - Intel Core i3 - 1TB HDD - 4GB RAM - No OS - Black.","32,999"
Lenovo ,"Ideapad 130, 15.6"" Intel Core i3 4GB RAM, 1TB HDD. Free DOS - Black","34,999"
Lenovo ,"Ideapad 100 - 15.6"" - Intel Celeron - 2 GB RAM 500 GB HDD- No OS Installed- Black","20,999"
Lenovo ,"IDEAPAD 330S-141KB Core I5 8GB RAM 1TB HDD 14"" Win10 GREY","56,999"
HP ,INSPIRED refurbished 820 Core i5 4GB RAM-500 GB HDD- Silver,"33,700"
,,
ASUS ,Asus X540M-15.6'' Celeron 4GB Ram 500HDD Free Dos -Black/Silver,"25,399"
HP ,"15-ra008nia - 15.6"" - Intel Celeron - 4GB RAM - 500GB HDD - DOS - Black","25,999"
HP ,"INSPIRED Refurbished FOLIO 9470M Core i5 1.8 Ghz 4GB RAM 500GB HDD 15.6"" Black & Gold","32,999"
Lenovo ,"Ideapad 330 15IGM 15.6"" Intel Celeron 500GB HDD 4GB RAM DOS Platinum Grey","24,398"
 ,"LIFEBOOK T734, intel Corei5,  4GB + 500GB, WIN10TRIAL","17,999"
,,
CTRONIQ ,"Ctroniq N14B - 14.1"" HD Screen - Microsoft certified Windows 10 laptop - 32GB + 2GB - Black","16,999"
Apple ,"MacBook Pro with Retina display 15.4"" Intel Core i7  - 16GB RAM  - 256GB Flash Storage - Silver","265,000"
HP ,"Refurbished Elitebook Folio 9480m 14""IntelCore i7 8GB RAM 500GB HDD","36,000"
Lenovo ,"Ideapad 130-15IKB-15.6""-Intel Core i3-1TB HDD-4GB RAM-FreeDOS-Black","34,898"
HP ,Refurbished Probook 6470b 14 Intel Core i5 4GB RAM - 500GB HDD - Dove Grey,"19,999"
,,
Apple ,"MacBook Pro 13"" Retina, Touch Bar, 2.3GHz Quad-Core Intel Core i5, 8GB RAM, 512 GB SSD Space Gray","240,000"
HP ,"Refurbrished Hp Probook 6470  - 14"" - Intel Core i5 - 4GB RAM -  500GB HDD - Grey","23,000"
HP ,15 Laptop – 15.6” - 8th Gen Intel Core i7 – 1TB HDD – 8GB RAM – 2GB GRAPHICS -Free Dos – Silver,"77,000"
HP ,"Refurbrished  HP Elitebook 820 -Corei5-4GBRAM-500GB-  12.5"" slim - Black","24,999"
HP ,"EliteBook 1040 G4 - 14"" -Intel  Core i7  - 8 GB RAM - 256 GB SSD – Win 10 pro - Silver","194,700"
,,
Lenovo ,"Ideapad 330-15IGM - 15.6"" - Intel Celeron - 500GB HDD - 4GB RAM -  Free DOS - Grey","24,498"
Lenovo ,Ideapad 330-15.6-Intel Celeron-500GB HDD-4GB RAM- DOS- Black+FreeBackpack,"26,799"
Apple ,"MacBook Pro 13"" Retina, Touch Bar, 2.3GHz Quad-Core Intel Core i5, 8GB RAM, 256 GB SSD Space Gray","199,990"
HP ,"Probook-  440 G5 -14"" - Intel Core i7 8th gen  1TB HDD - 8GB RAM - 2GB Nvidia Graphics - Dos Free- Silver","91,000"
