brand,name,price,link
Samsung ,"Galaxy A30 - 64GB Rom - 4GB Ram, 4000mAh, Dual SIM 4G -Black","21,899",https://www.jumia.co.ke/galaxy-a30-64gb-rom-4gb-ram-4000mah-dual-sim-4g-black-samsung-mpg152453.html
,,,
Infinix ,"Smart 2HD X609, 6"",  16GB + 1GB (Dual SIM), Gold","7,399",https://www.jumia.co.ke/infinix-smart-2hd-x609-6-16gb-1gb-dual-sim-gold-infinix-mpg135096.html
Nokia ,"3.1 - 5.2"",2GB RAM, 16GB ROM-, Dual SIM - 13MP + 8MP - White","8,799",https://www.jumia.co.ke/3.1-5.22gb-ram-16gb-rom-dual-sim-13mp-8mp-white-nokia-mpg163391.html
Fourmobile ,"S610 Shine - 5.5"" - 3GB + 32GB - 18MP (Dual SIM) - Black","7,299",https://www.jumia.co.ke/fourmobile-s610-shine-5.5-3gb-32gb-18mp-dual-sim-black-12842543.html
Infinix ,"Smart 2HD X609, 6"", 16GB + 1GB (Dual SIM), Black","7,399",https://www.jumia.co.ke/smart-2hd-x609-6-16gb-1gb-dual-sim-black-infinix-mpg131954.html
OPPO ,"F9 - 6.3"" - 64GB - 4GB RAM - 25MP Front Camera - Dual SIM 4G - Blue","24,999",https://www.jumia.co.ke/f9-6.3-64gb-4gb-ram-25mp-front-camera-dual-sim-4g-blue-oppo-mpg123675.html
,,,
Xiaomi ,"Redmi 6, 5.45"", 4G, 64GB + 3GB (Dual SIM), Gold","11,999",https://www.jumia.co.ke/redmi-6-5.45-4g-64gb-3gb-ram-fingerprint-sensor-125-mp-rear-back-camera-dual-sim-gold-xiaomi-mpg133111.html
Xiaomi ,"Redmi 6A, 5.45"", (16GB+2GB RAM), 13MP, (Dual SIM), 4G Black","7,999",https://www.jumia.co.ke/redmi-6a-4g-smartphone-android-8.1-helio-a22-quad-core-2gb-ram-16gb-rom-black-xiaomi-mpg125823.html
Honor ,7C - 3GB + 32GB (Dual SIM) - Black,"13,999",https://www.jumia.co.ke/honor-7c-3gb-32gb-dual-sim-black-huawei-mpg113975.html
Nokia ,6.1 (2018)– 5.5” - 32GB – 3GB – 16MP – Dual SIM – Black,"13,798",https://www.jumia.co.ke/6.1-2018-5.5-32gb-rom-3gb-ram-16mp-camera-dual-sim-black-copper-nokia-mpg114073.html
Nokia ,"5.1 Plus - 5.8"" HD+  - 32 GB - 3 GB RAM - Black.","12,199",https://www.jumia.co.ke/5.1-plus-5.8-hd-32-gb-3-gb-ram-black-nokia-mpg127408.html
,,,
Sony ,"Xperia L1, 5.5"" 16GB + 2GB, (Dual SIM) - White","8,699",https://www.jumia.co.ke/xperia-l1-5.5-13mp-5mp-1.4ghz-16gb-2gb-ram-2620mah-dual-sim-white-sony-mpg18963.html
Infinix ,"HOT 7 - 32GB - 2GB, 6.2"", 13MP, 4000mAh, Dual SIM Quad-Core 1.3GHz Processor - Black","11,290",https://www.jumia.co.ke/hot-7-32gb-2gb-6.2-13mp-4000mah-dual-sim-quad-core-1.3ghz-processor-black-infinix-mpg151689.html
Ulefone ,"S10 Pro - 5.7"" - 16GB - 2GB RAM, 4G LTE (Dual SIM), Black","7,999",https://www.jumia.co.ke/s10-pro-5.7-16gb-2gb-ram-4g-lte-dual-sim-black-ulefone-mpg134964.html
TECNO ,"Phantom 8, 64GB+6GB (Dual SIM), Black.","16,999",https://www.jumia.co.ke/tecno-phantom-8-64gb6gb-dual-sim-black.-18665615.html
X-TIGI ,"V15- 5.0""- 16GB+1GB- Android 8.1- 5MP- Dual SIM- Grey","4,599",https://www.jumia.co.ke/v15-5.0-16gb1gb-android-8.1-5mp-camera-dual-sim-grey-x-tigi-mpg128382.html
,,,
Nokia ,"5.1 Plus - 5.8"" HD, 32GB + 3GB (Dual SIM) - Blue","12,199",https://www.jumia.co.ke/5.1-plus-5.8-hd-32-gb-3-gb-ram-blue-nokia-mpg127409.html
Huawei ,"Y5 2019, 32GB+2GB,Blue - Dual Sim","10,999",https://www.jumia.co.ke/huawei-y5-2019-32gb2gbblue-dual-sim-18068355.html
TECNO ,Pop 2 - 5.5 - [8GB+1GB] smartphone - 8MP (Dual sim) - Black,"5,799",https://www.jumia.co.ke/tecno-pop-2-5.5-8gb1gb-smartphone-8mp-dual-sim-black-18688139.html
Infinix ,"Hot S3, 5.7"", 3GB + 32GB, ( SINGLE SIM), Red.","9,199",https://www.jumia.co.ke/hot-s3-5.7-3gb-32gb-single-sim-red.-infinix-mpg149391.html
X-TIGI ,"V5 - 4.0"" - 8GB+1GB - Android 8.1- Dual SIM- Black","3,499",https://www.jumia.co.ke/v5-4.0-8gb1gb-android-8.1-dual-sim-black-x-tigi-mpg130225.html
,,,
Ulefone ,"Note 7 - 6.1""- 1GB+16GB - 8MP+2MP+2MP - DUAL SIM - Black","6,499",https://www.jumia.co.ke/ulefone-note-7-6.1-1gb16gb-8mp2mp2mp-dual-sim-black-16094957.html
Ulefone ,"Note 7 - 6.1""- 1GB+16GB - 8MP+2MP+2MP - DUAL SIM - Twilight","6,499",https://www.jumia.co.ke/ulefone-note-7-6.1-1gb16gb-8mp2mp2mp-dual-sim-twilight-16094955.html
Ulefone ,"S1 Pro - 5.5"" - 16GB - 1GB RAM (13MP+5MP) Dual Camera - Dual Sim - 4G - Black","6,499",https://www.jumia.co.ke/ulefone-s1-pro-5.5-16gb-1gb-ram-13mp5mp-dual-camera-dual-sim-4g-black-17212945.html
Infinix ,"Smart 2, 5.5"", 16GB, 1GB RAM, 13MP Camera, 4G, Dual SIM - Serene Gold","7,399",https://www.jumia.co.ke/smart-2-5.5-16gb-1gb-ram-13mp-camera-4g-dual-sim-gold-infinix-mpg123674.html
Xiaomi ,"Redmi Go 5.0”, 8GB+1GB RAM, 8MP+5MP Camera, Dual SIM, Black","6,472",https://www.jumia.co.ke/redmi-go-5.0-4g-8gb1gb-ram-8mp5mp-cameradual-sim-black.-xiaomi-mpg151735.html
,,,
Infinix ,"Smart 2, 5.5"", 16GB, 1GB RAM, 13MP Camera, 4G, Dual SIM - Bordeaux Red","7,399",https://www.jumia.co.ke/smart-2-5.5-16gb-1gb-ram-13mp-camera-4g-dual-sim-bordeaux-red-infinix-mpg124398.html
Infinix ,"Hot S4, 6.2"", 32GB + 3GB (Dual SIM), Blue","13,999",https://www.jumia.co.ke/infinix-hot-s4-6.2-32gb-3gb-dual-sim-blue-18689186.html
Oukitel ,"C12 Pro, 6.18"" ,16GB + 2GB RAM, (Dual SIM) Gold","7,875",https://www.jumia.co.ke/c12-pro-6.18-16gb-2gb-ram-dual-sim-4g-gold-oukitel-mpg129567.html
Infinix ,"SMART 2 - 5.5"" - 13MP - 16GB - 1GB - FingerPrint - 4G LTE Dual SIM - Black","7,399",https://www.jumia.co.ke/smart-2-13mp-16gb-1gb-fingerprint-5.5-4g-lte-dual-sim-black-infinix-mpg120554.html
TECNO ,"Spark 2, 16GB+1GB (Dual SIM) Bordeaux Red","9,299",https://www.jumia.co.ke/spark-2-16gb-1gb-ram-13mp-camera-dual-sim-bordeaux-red-tecno-mpg110725.html
,,,
Nokia ,1 - 8GB - 1GB RAM - Dual SIM - Dark Blue,"5,349",https://www.jumia.co.ke/1-8gb-1gb-ram-dual-sim-dark-blue-nokia-mpg123346.html
Ulefone ,S7 - 8GB - 1GB RAM (8MP+5 MP) Camera - Dual Sim - 3G - Black,"4,799",https://www.jumia.co.ke/s7-8gb-1gb-ram-8mp5-mp-camera-dual-sim-3g-black-ulefone-mpg135374.html
Samsung ,"Galaxy A30 - 64GB Rom - 4GB Ram, 4000mAh, Dual SIM 4G -Blue","19,599",https://www.jumia.co.ke/galaxy-a30-64gb-rom-4gb-ram-4000mah-dual-sim-4g-blue-samsung-mpg151714.html
